iter	Accuracy	Logloss
0	0.5860866055	0.6849347082
1	0.5899210056	0.67806487
2	0.5972150147	0.6722867049
3	0.5997808914	0.6703890803
4	0.6012512253	0.6657705347
5	0.6013377155	0.6620916312
6	0.6018854869	0.6593514383
7	0.6014242057	0.6582194318
8	0.6020872975	0.6573798953
9	0.603442311	0.6564866359
10	0.6109093006	0.6545811254
11	0.6103326991	0.6538384467
12	0.6115435622	0.6532126285
13	0.6119183532	0.6513939578
14	0.6122354841	0.64977427
15	0.6126679352	0.6491178722
16	0.6128409156	0.6485713057
17	0.6128409156	0.6480182062
18	0.6131868765	0.6473952125
19	0.614109439	0.6468440043
20	0.614138269	0.6462569683
21	0.614109439	0.6459123877
22	0.61451306	0.6447714325
23	0.6148301909	0.6443809683
24	0.6149166811	0.6439581989
25	0.6161563743	0.6434835021
26	0.6157527533	0.6417575166
27	0.6171077668	0.6407639555
28	0.6174248977	0.6398344805
29	0.6180303292	0.6394711719
30	0.6184627804	0.639189547
31	0.6199331142	0.6386063021
32	0.6203655654	0.6382395996
33	0.6207980165	0.6379488892
34	0.6217782391	0.6376526122
35	0.6224701609	0.637151871
36	0.6221818601	0.6369157252
37	0.6235080436	0.6366611697
38	0.6232485729	0.6364196997
39	0.6233350631	0.636242554
40	0.624055815	0.6359959558
41	0.6242864556	0.6357726042
42	0.6239981549	0.6351168015
43	0.6247765669	0.6348495498
44	0.6257856196	0.634598045
45	0.6266216917	0.6340689354
46	0.6273136136	0.6336798213
47	0.6269099925	0.6333017455
48	0.627111803	0.632429813
49	0.627861385	0.6320141852
50	0.6281208557	0.631916788
51	0.6284956467	0.6317816213
52	0.6293317188	0.6312650001
53	0.6295046993	0.63106893
54	0.629389379	0.6310120905
55	0.6295623595	0.6308581726
56	0.6296776798	0.6307355233
57	0.6295911895	0.6305332069
58	0.6296200196	0.6299197067
59	0.6304272617	0.6297161894
60	0.6314074843	0.6291555888
61	0.6317822753	0.6290724748
62	0.6324165369	0.6287769093
63	0.6322723866	0.6286843723
64	0.6326183475	0.6285907227
65	0.6338292106	0.6280213877
66	0.6346076227	0.6276182766
67	0.6349535836	0.6272324831
68	0.6348382633	0.6271023796
69	0.6350112437	0.6269675215
70	0.6348959234	0.6269074864
71	0.6350400738	0.6267830605
72	0.6359338061	0.626151456
73	0.6364527475	0.6258426473
74	0.6365104077	0.6257631123
75	0.6365392377	0.6256821624
76	0.6371734994	0.6251366949
77	0.6372311595	0.6250743854
78	0.6371446693	0.6245659706
79	0.6370870092	0.6242451796
80	0.6372311595	0.6241042602
81	0.6375194603	0.6239855759
82	0.6377212708	0.6239112043
83	0.6383555325	0.6235713619
84	0.6393357551	0.6230405374
85	0.6397970363	0.6226360809
86	0.6401429972	0.6222345904
87	0.6401429972	0.6221446563
88	0.6403736378	0.6220670959
89	0.6402871476	0.6219171954
90	0.6402006573	0.6219116537
91	0.6401141671	0.6216285734
92	0.640834919	0.6203525201
93	0.6403159776	0.6202918775
94	0.6404312979	0.6202175508
95	0.6401141671	0.6201533409
96	0.6405177882	0.6200726403
97	0.6406331085	0.6200277766
98	0.6413538603	0.6194791095
99	0.6418439716	0.6194118958
100	0.6432854754	0.6187132713
101	0.6432566453	0.6186248831
102	0.6438044168	0.6184638248
103	0.6440062273	0.6183933245
104	0.6441792077	0.6183379388
105	0.6444963386	0.6179413208
106	0.6440927175	0.6178521964
107	0.6447558093	0.617543335
108	0.644640489	0.6175211491
109	0.6446981491	0.6174227554
110	0.6452170905	0.6170813308
111	0.6453612408	0.6170209196
112	0.646572104	0.6164653813
113	0.6468027446	0.6162115244
114	0.6467739145	0.616114028
115	0.646946895	0.6160831083
116	0.6466009341	0.616020768
117	0.6472351958	0.6154413435
118	0.6471775356	0.6153850087
119	0.6473793461	0.6153662788
120	0.6480136078	0.6149143661
121	0.6491668108	0.6144595317
122	0.649628092	0.6139771875
123	0.6494551116	0.6136070122
124	0.6491668108	0.6135646063
125	0.649253301	0.6132755227
126	0.6501182033	0.6124127892
127	0.6505506544	0.6121033736
128	0.6505506544	0.6120331299
129	0.6510407657	0.6116722892
130	0.6509254454	0.6116020479
131	0.6514732169	0.6112034969
132	0.6514155567	0.6111658248
133	0.6515597071	0.6111572812
134	0.6523669492	0.6108815321
135	0.6524246094	0.6108124312
136	0.6524822695	0.6107570392
137	0.6527129101	0.6104680025
138	0.6530300409	0.6103136293
139	0.6531741913	0.6100478186
140	0.6533183417	0.6100291481
141	0.6540679237	0.6095563658
142	0.6544715447	0.6092871847
143	0.6544427146	0.6092446821
144	0.654183244	0.609168493
145	0.6546156951	0.60855972
146	0.6546445252	0.608280468
147	0.654961656	0.6080190429
148	0.6550769763	0.6079606409
149	0.6550769763	0.6079321837
150	0.6555382575	0.6074208789
151	0.6555959177	0.6074197817
152	0.6555959177	0.6073922917
153	0.6556247477	0.6073918302
154	0.6555382575	0.606930272
155	0.6558265583	0.6068983671
156	0.6557688981	0.6066664883
157	0.6557688981	0.60664276
158	0.6558553883	0.6064245438
159	0.6558553883	0.6063931103
160	0.655711238	0.6063186758
161	0.6559418786	0.6059194538
162	0.6562301793	0.6058830229
163	0.6564031598	0.6054966068
164	0.6562590094	0.6054877464
165	0.6564608199	0.6054727488
166	0.6565761402	0.6053968823
167	0.6569221011	0.60509531
168	0.6569221011	0.6050506137
169	0.6577005132	0.6045860532
170	0.6579599839	0.6045488561
171	0.6579888139	0.6045324403
172	0.658017644	0.6044906636
173	0.6584212651	0.604113685
174	0.658392435	0.6041028765
175	0.6583636049	0.6041020252
176	0.659142017	0.6036841826
177	0.6589690365	0.6033589231
178	0.6591131869	0.6029083424
179	0.6599492591	0.6022792958
180	0.6598627688	0.6022355178
181	0.6598627688	0.6021576281
182	0.6601510696	0.6018459066
183	0.6600934094	0.6016826737
184	0.66032405	0.6013306822
185	0.6602663899	0.6013276596
186	0.6605546907	0.6009698955
187	0.660698841	0.6009692848
188	0.6609871418	0.6009357387
189	0.6609871418	0.6009095509
190	0.6613619328	0.600867636
191	0.6623421553	0.6001707763
192	0.6623998155	0.6001257699
193	0.6625151358	0.6000832267
194	0.6624286456	0.5999152311
195	0.6625439659	0.5998974512
196	0.662601626	0.5996917065
197	0.6626304561	0.5996834687
198	0.6627457764	0.5996640283
199	0.6628034365	0.5995935711
200	0.6632935478	0.5995163881
201	0.6632647178	0.5994740744
202	0.6638989794	0.5989490163
203	0.6641584501	0.5989061479
204	0.6639854696	0.5988861892
205	0.6642737704	0.5988400395
206	0.6649368621	0.598199581
207	0.6657441042	0.5978248454
208	0.6658305945	0.5976349062
209	0.665657614	0.5975905386
210	0.6658882546	0.5973880832
211	0.6660035749	0.5973606253
212	0.6660035749	0.5973602809
213	0.6665513464	0.596803692
214	0.6666954967	0.5961521025
215	0.6673585885	0.5951946534
216	0.6675315689	0.5949468864
217	0.6681658306	0.5942194197
218	0.6685982817	0.5934460167
219	0.6686271118	0.5930673378
220	0.6686559419	0.5930421984
221	0.669088393	0.592948655
222	0.6693190336	0.5926863816
223	0.6701839359	0.5922706618
224	0.6703280863	0.5919259045
225	0.670616387	0.591890756
226	0.6706452171	0.5914783785
227	0.6710488381	0.590963031
228	0.6713371389	0.5905860827
229	0.6715677795	0.5905409542
230	0.67174076	0.59051617
231	0.6721732111	0.5898567292
232	0.6721732111	0.5898363488
233	0.6723750216	0.589820442
234	0.6727498126	0.5893615796
235	0.6729516231	0.5891929044
236	0.6733552442	0.5889592708
237	0.6734417344	0.5887726177
238	0.6731822637	0.5887072296
239	0.6734129043	0.5879918299
240	0.6734417344	0.5877272464
241	0.6734705645	0.5874200824
242	0.6735858848	0.5873979763
243	0.6736435449	0.5869888195
244	0.6737300352	0.5868639563
245	0.6735570547	0.5866123139
246	0.6739030156	0.5863701474
247	0.6752291991	0.5854821155
248	0.6751427089	0.5854452879
249	0.6753733495	0.5851691133
250	0.6754886698	0.5850553604
251	0.6758922908	0.5845308052
252	0.6760364412	0.5843828509
253	0.676324742	0.5842681779
254	0.6764400623	0.5840395915
255	0.6767571931	0.5833271901
256	0.6772184743	0.5828657076
257	0.6772473044	0.5828449809
258	0.6777374157	0.5827223018
259	0.6779968864	0.582585257
260	0.6779968864	0.5823751685
261	0.6781986969	0.5821019642
262	0.6784869976	0.5817117647
263	0.6798420112	0.5807613956
264	0.6798420112	0.5802595897
265	0.6798708413	0.5802286251
266	0.6799285014	0.5799294036
267	0.6800149916	0.5798684899
268	0.6801303119	0.5796597781
269	0.6808222338	0.5793179706
270	0.6811105345	0.5792722094
271	0.6812258548	0.5789112572
272	0.6813411751	0.5786726047
273	0.6818312864	0.5779750571
274	0.6820907571	0.5777806022
275	0.6823502278	0.5774405985
276	0.6825808684	0.5769858247
277	0.6829556593	0.5764072703
278	0.6829556593	0.5761809236
279	0.6829268293	0.5754906772
280	0.6832439601	0.574845197
281	0.6837629015	0.5741689848
282	0.6838782218	0.5736112107
283	0.6838205616	0.5730555756
284	0.6838205616	0.5725836914
285	0.6838493917	0.5723484625
286	0.6840800323	0.5719706703
287	0.6852908955	0.5711206688
288	0.6859828173	0.5700569209
289	0.6864152684	0.5697765962
290	0.6866170789	0.5697010387
291	0.6871071902	0.569490066
292	0.687395491	0.5691721005
293	0.6875684714	0.5686902631
294	0.6880585827	0.5680935997
295	0.6882027331	0.567960397
296	0.688173903	0.5675359954
297	0.6883180534	0.5674337105
298	0.6883757135	0.5673825748
299	0.6881450729	0.5672887961
300	0.688173903	0.5671926201
