iter	Passed	Remaining
0	218	174448
1	274	109659
2	327	87097
3	381	75864
4	433	68990
5	485	64228
6	539	61105
7	590	58435
8	643	56542
9	695	54924
10	741	53155
11	793	52076
12	845	51212
13	892	50105
14	940	49205
15	990	48515
16	1038	47842
17	1087	47265
18	1135	46665
19	1186	46274
20	1240	46001
21	1296	45848
22	1366	46158
23	1425	46099
24	1481	45922
25	1560	46444
26	1658	47487
27	1755	48410
28	1829	48648
29	1926	49458
30	1987	49292
31	2048	49168
32	2107	48990
33	2169	48882
34	2222	48573
35	2273	48246
36	2321	47866
37	2363	47387
38	2412	47075
39	2463	46807
40	2510	46478
41	2564	46279
42	2618	46098
43	2674	45960
44	2727	45761
45	2776	45514
46	2829	45329
47	2888	45257
48	2958	45347
49	3025	45381
50	3148	46235
51	3261	46913
52	3331	46951
53	3385	46766
54	3419	46312
55	3466	46051
56	3512	45791
57	3563	45594
58	3616	45425
59	3670	45264
60	3720	45072
61	3775	44936
62	3827	44779
63	3884	44674
64	3939	44545
65	3968	44132
66	4022	44005
67	4075	43869
68	4122	43673
69	4183	43623
70	4232	43456
71	4295	43428
72	4394	43762
73	4456	43718
74	4510	43604
75	4558	43428
76	4620	43382
77	4679	43317
78	4733	43196
79	4787	43084
80	4843	42997
81	4900	42910
82	4955	42804
83	5014	42746
84	5057	42540
85	5116	42480
86	5179	42447
87	5235	42360
88	5308	42408
89	5370	42364
90	5409	42143
91	5479	42168
92	5541	42125
93	5598	42049
94	5656	41980
95	5715	41914
96	5777	41869
97	5839	41828
98	5898	41767
99	5960	41720
100	6010	41596
101	6068	41528
102	6128	41471
103	6183	41381
104	6241	41313
105	6298	41238
106	6352	41142
107	6389	40938
108	6444	40852
109	6501	40781
110	6551	40664
111	6634	40754
112	6688	40661
113	6717	40422
114	6769	40322
115	6824	40241
116	6879	40160
117	6934	40079
118	6991	40007
119	7042	39909
120	7095	39814
121	7164	39818
122	7216	39722
123	7271	39640
124	7326	39565
125	7375	39453
126	7430	39375
127	7484	39293
128	7540	39219
129	7594	39140
130	7647	39056
131	7687	38903
132	7747	38854
133	7775	38647
134	7826	38554
135	7873	38441
136	7933	38392
137	7992	38340
138	8035	38213
139	8098	38180
140	8124	37971
141	8165	37836
142	8220	37768
143	8282	37730
144	8342	37684
145	8403	37642
146	8461	37589
147	8505	37471
148	8566	37430
149	8632	37408
150	8667	37254
151	8691	37053
152	8748	36994
153	8762	36757
154	8821	36709
155	8882	36668
156	8941	36619
157	8994	36548
158	9055	36505
159	9108	36434
160	9160	36357
161	9205	36252
162	9254	36167
163	9296	36051
164	9337	35935
165	9388	35859
166	9441	35786
167	9490	35702
168	9543	35633
169	9598	35570
170	9645	35479
171	9696	35403
172	9751	35343
173	9803	35270
174	9857	35205
175	9877	35020
176	9937	34979
177	10001	34947
178	10066	34922
179	10131	34896
180	10188	34843
181	10244	34784
182	10303	34739
183	10372	34726
184	10409	34603
185	10450	34497
186	10508	34446
187	10530	34280
188	10591	34240
189	10645	34177
190	10703	34126
191	10760	34075
192	10811	34002
193	10868	33951
194	10916	33870
195	10963	33786
196	11016	33719
197	11117	33802
198	11233	33927
199	11306	33920
200	11378	33909
201	11434	33850
202	11487	33783
203	11539	33713
204	11589	33639
205	11643	33573
206	11715	33561
207	11791	33561
208	11856	33526
209	11911	33466
210	11967	33405
211	12019	33336
212	12039	33180
213	12091	33109
214	12147	33053
215	12210	33014
216	12266	32955
217	12324	32902
218	12379	32843
219	12410	32719
220	12442	32598
221	12496	32535
222	12553	32482
223	12605	32413
224	12661	32356
225	12716	32296
226	12775	32247
227	12830	32188
228	12884	32126
229	12936	32059
230	12994	32007
231	13054	31961
232	13110	31904
233	13171	31860
234	13226	31799
235	13282	31743
236	13342	31694
237	13405	31656
238	13464	31605
239	13522	31551
240	13580	31500
241	13644	31461
242	13708	31421
243	13789	31421
244	13863	31405
245	13936	31385
246	13996	31336
247	14059	31294
248	14141	31293
249	14211	31265
250	14274	31221
251	14339	31181
252	14396	31125
253	14450	31063
254	14507	31006
255	14561	30943
256	14622	30894
257	14693	30868
258	14775	30862
259	14835	30811
260	14889	30749
261	14947	30693
262	15006	30639
263	15064	30584
264	15123	30532
265	15180	30475
266	15233	30408
267	15290	30353
268	15347	30296
269	15404	30238
270	15472	30201
271	15564	30213
272	15634	30180
273	15691	30123
274	15748	30064
275	15806	30009
276	15861	29947
277	15920	29893
278	15978	29837
279	16033	29776
280	16091	29720
281	16149	29664
282	16208	29609
283	16267	29556
284	16326	29501
285	16385	29448
286	16443	29392
287	16505	29343
288	16563	29287
289	16619	29226
290	16715	29236
291	16787	29206
292	16852	29162
293	16906	29098
294	16963	29038
295	17017	28976
296	17085	28936
297	17139	28873
298	17192	28807
299	17245	28742
300	17295	28672
301	17355	28618
302	17416	28568
303	17507	28565
304	17580	28532
305	17645	28486
306	17697	28419
307	17750	28355
308	17803	28288
309	17858	28227
310	17910	28161
311	17968	28104
312	18021	28040
313	18095	28007
314	18167	27971
315	18234	27928
316	18293	27872
317	18352	27817
318	18412	27763
319	18469	27703
320	18520	27636
321	18569	27566
322	18630	27513
323	18686	27452
324	18737	27384
325	18795	27327
326	18850	27267
327	18902	27201
328	18959	27142
329	19017	27085
330	19073	27026
331	19132	26969
332	19198	26924
333	19267	26881
334	19330	26832
335	19383	26767
336	19438	26705
337	19488	26638
338	19543	26577
339	19599	26517
340	19659	26462
341	19717	26404
342	19775	26348
343	19827	26282
344	19882	26222
345	19939	26163
346	19993	26100
347	20050	26042
348	20106	25982
349	20160	25920
350	20215	25859
351	20270	25798
352	20321	25732
353	20373	25667
354	20429	25609
355	20487	25551
356	20547	25497
357	20611	25447
358	20676	25399
359	20729	25335
360	20776	25266
361	20829	25203
362	20879	25135
363	20921	25060
364	20969	24991
365	21014	24918
366	21064	24853
367	21113	24784
368	21165	24721
369	21214	24654
370	21261	24585
371	21311	24519
372	21361	24454
373	21407	24384
374	21456	24317
375	21508	24254
376	21562	24193
377	21611	24127
378	21660	24061
379	21709	23994
380	21764	23935
381	21823	23879
382	21873	23815
383	21931	23759
384	21993	23707
385	22054	23653
386	22119	23605
387	22173	23545
388	22238	23495
389	22294	23437
390	22343	23372
391	22392	23306
392	22452	23252
393	22510	23196
394	22561	23132
395	22623	23081
396	22673	23016
397	22726	22955
398	22778	22892
399	22834	22834
400	22904	22790
401	22974	22745
402	23040	22697
403	23095	22638
404	23150	22578
405	23206	22520
406	23261	22461
407	23308	22394
408	23357	22330
409	23409	22267
410	23462	22207
411	23513	22143
412	23559	22076
413	23613	22016
414	23667	21956
415	23719	21895
416	23773	21835
417	23829	21777
418	23889	21722
419	23946	21666
420	24004	21609
421	24068	21558
422	24122	21498
423	24186	21448
424	24247	21394
425	24307	21339
426	24367	21286
427	24422	21227
428	24481	21171
429	24538	21114
430	24592	21054
431	24647	20996
432	24703	20938
433	24757	20878
434	24817	20823
435	24881	20772
436	24932	20710
437	24982	20647
438	25032	20584
439	25083	20522
440	25154	20476
441	25215	20423
442	25269	20363
443	25323	20304
444	25380	20247
445	25433	20186
446	25483	20124
447	25536	20064
448	25584	20000
449	25643	19944
450	25696	19884
451	25748	19823
452	25795	19759
453	25846	19698
454	25897	19636
455	25948	19574
456	26000	19514
457	26052	19453
458	26107	19395
459	26156	19333
460	26209	19273
461	26259	19211
462	26315	19153
463	26368	19094
464	26423	19036
465	26482	18980
466	26535	18921
467	26595	18866
468	26646	18805
469	26705	18750
470	26762	18694
471	26820	18637
472	26873	18578
473	26922	18516
474	26973	18455
475	27022	18393
476	27070	18330
477	27120	18269
478	27172	18209
479	27222	18148
480	27272	18087
481	27327	18029
482	27383	17971
483	27436	17913
484	27496	17858
485	27546	17797
486	27593	17734
487	27645	17674
488	27697	17615
489	27746	17553
490	27798	17494
491	27855	17438
492	27906	17378
493	27959	17318
494	28011	17259
495	28062	17199
496	28119	17143
497	28167	17081
498	28220	17022
499	28272	16963
500	28322	16903
501	28395	16856
502	28463	16806
503	28563	16775
504	28651	16736
505	28714	16683
506	28777	16630
507	28841	16577
508	28905	16525
509	28979	16478
510	29042	16425
511	29105	16371
512	29165	16316
513	29223	16260
514	29281	16204
515	29339	16147
516	29410	16099
517	29465	16041
518	29530	15988
519	29608	15943
520	29680	15894
521	29745	15841
522	29816	15791
523	29893	15745
524	29954	15690
525	30009	15632
526	30073	15579
527	30139	15526
528	30197	15469
529	30250	15410
530	30306	15352
531	30358	15293
532	30417	15237
533	30474	15179
534	30535	15125
535	30598	15071
536	30655	15013
537	30710	14955
538	30769	14899
539	30828	14843
540	30887	14787
541	30941	14728
542	30995	14670
543	31072	14622
544	31138	14569
545	31191	14510
546	31242	14450
547	31297	14392
548	31353	14334
549	31410	14277
550	31466	14219
551	31520	14161
552	31575	14103
553	31631	14045
554	31687	13988
555	31741	13929
556	31798	13872
557	31853	13814
558	31909	13757
559	31961	13697
560	32018	13640
561	32070	13581
562	32128	13524
563	32187	13468
564	32238	13409
565	32296	13352
566	32349	13293
567	32404	13235
568	32460	13178
569	32512	13119
570	32568	13061
571	32622	13003
572	32680	12946
573	32735	12888
574	32790	12831
575	32846	12773
576	32900	12715
577	32956	12658
578	33014	12601
579	33068	12543
580	33134	12489
581	33190	12432
582	33244	12373
583	33298	12315
584	33349	12256
585	33406	12199
586	33470	12145
587	33547	12095
588	33600	12037
589	33655	11979
590	33707	11920
591	33760	11861
592	33810	11802
593	33861	11743
594	33910	11683
595	33959	11623
596	34006	11563
597	34053	11503
598	34105	11444
599	34153	11384
600	34209	11327
601	34263	11269
602	34316	11211
603	34367	11152
604	34421	11094
605	34470	11035
606	34525	10977
607	34575	10918
608	34626	10859
609	34674	10800
610	34724	10741
611	34774	10682
612	34826	10624
613	34879	10566
614	34932	10508
615	34979	10448
616	35030	10389
617	35080	10331
618	35134	10273
619	35183	10214
620	35237	10156
621	35284	10097
622	35340	10040
623	35392	9982
624	35444	9924
625	35495	9866
626	35550	9808
627	35604	9751
628	35658	9694
629	35715	9637
630	35763	9578
631	35814	9520
632	35864	9461
633	35918	9404
634	35969	9346
635	36021	9288
636	36075	9231
637	36126	9173
638	36178	9115
639	36229	9057
640	36277	8998
641	36326	8940
642	36377	8882
643	36432	8825
644	36479	8766
645	36528	8707
646	36579	8650
647	36628	8591
648	36681	8534
649	36740	8478
650	36796	8421
651	36854	8365
652	36909	8308
653	36963	8251
654	37017	8194
655	37083	8140
656	37146	8085
657	37222	8032
658	37308	7982
659	37359	7924
660	37413	7867
661	37467	7810
662	37527	7754
663	37583	7697
664	37638	7640
665	37703	7586
666	37756	7528
667	37804	7470
668	37858	7413
669	37910	7355
670	37966	7299
671	38021	7242
672	38076	7185
673	38129	7128
674	38187	7071
675	38248	7015
